pai_et_municipios,promedio,comparacion_psyc,desviacion,comparacion_dsyc,desempeno_1,desempeno_2,desempeno_3,desempeno_4,aprendizaje_1,aprendizaje_2,aprendizaje_3,aprendizaje_4,aprendizaje_5,aprendizaje_6,Competencia
OFICIALES RURALES DE SAN ANDRES,40,Mayor,10,Mayor,57%,33%,9%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE SAN ANDRES,54,Menor,12,Similar,14%,40%,36%,10%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE SAN ANDRES,41,Mayor,10,Mayor,52%,38%,10%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE SAN ANDRES,49,Similar,13,Similar,31%,35%,29%,6%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
SANTA MARTA,48,,12,,32%,42%,23%,3%,42%,57%,59%,64%,60%,54%,Sociales y Ciudadanas
OFICIALES URBANOS DE SANTA MARTA,46,Similar,11,Similar,35%,44%,20%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE SANTA MARTA,42,Mayor,10,Mayor,47%,42%,10%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE SANTA MARTA,54,Menor,12,Similar,16%,37%,40%,7%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE SANTA MARTA,40,Mayor,7,Mayor,59%,39%,2%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE SANTA MARTA,45,Similar,10,Mayor,40%,43%,16%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE SANTA MARTA,54,Menor,11,Similar,14%,40%,40%,6%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE SANTA MARTA,46,Similar,18,Menor,50%,25%,0%,25%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
SANTANDER,50,,11,,24%,45%,28%,4%,38%,55%,57%,59%,55%,53%,Sociales y Ciudadanas
OFICIALES URBANOS DE SANTANDER,51,Similar,11,Similar,21%,44%,30%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE SANTANDER,47,Similar,11,Similar,30%,48%,21%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE SANTANDER,54,Menor,13,Menor,18%,34%,39%,9%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE SANTANDER,46,Mayor,11,Similar,34%,46%,18%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE SANTANDER,49,Similar,11,Similar,25%,46%,26%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE SANTANDER,57,Menor,11,Similar,8%,35%,48%,9%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
SINCELEJO,49,,12,,28%,40%,27%,5%,39%,54%,56%,58%,56%,54%,Sociales y Ciudadanas
OFICIALES URBANOS DE SINCELEJO,48,Similar,11,Similar,29%,44%,24%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE SINCELEJO,43,Mayor,10,Mayor,47%,40%,12%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE SINCELEJO,56,Menor,14,Menor,16%,26%,44%,14%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE SINCELEJO,42,Mayor,9,Mayor,50%,39%,10%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE SINCELEJO,48,Similar,11,Similar,30%,43%,23%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE SINCELEJO,58,Menor,13,Similar,11%,25%,48%,16%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
SOACHA,50,,11,,20%,48%,31%,2%,36%,54%,56%,63%,55%,55%,Sociales y Ciudadanas
OFICIALES URBANOS DE SOACHA,48,Similar,10,Similar,24%,51%,24%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE SOACHA,46,Mayor,11,Similar,38%,42%,18%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE SOACHA,53,Similar,11,Similar,14%,44%,38%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE SOACHA,48,Similar,10,Similar,26%,51%,22%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE SOACHA,52,Similar,10,Similar,16%,46%,36%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
SOGAMOSO,55,,11,,11%,39%,44%,7%,31%,44%,50%,53%,49%,47%,Sociales y Ciudadanas
OFICIALES URBANOS DE SOGAMOSO,54,Similar,10,Similar,11%,44%,40%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE SOGAMOSO,49,Mayor,10,Similar,22%,45%,31%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE SOGAMOSO,58,Similar,11,Similar,8%,29%,51%,12%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE SOGAMOSO,50,Mayor,10,Similar,19%,50%,29%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE SOGAMOSO,56,Similar,10,Similar,8%,35%,48%,8%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
SOLEDAD,48,,12,,31%,41%,25%,3%,41%,56%,58%,60%,58%,55%,Sociales y Ciudadanas
OFICIALES URBANOS DE SOLEDAD,48,Similar,11,Similar,29%,44%,25%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE SOLEDAD,48,Similar,13,Similar,32%,38%,25%,5%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE SOLEDAD,45,Similar,11,Similar,38%,42%,18%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE SOLEDAD,55,Menor,12,Similar,13%,38%,42%,7%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
SUCRE,44,,11,,45%,39%,15%,1%,48%,64%,63%,62%,62%,63%,Sociales y Ciudadanas
OFICIALES URBANOS DE SUCRE,45,Similar,11,Similar,38%,41%,18%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE SUCRE,40,Mayor,9,Mayor,58%,35%,7%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE SUCRE,54,Menor,12,Similar,18%,32%,41%,9%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE SUCRE,39,Mayor,8,Mayor,62%,33%,5%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE SUCRE,45,Similar,11,Similar,41%,40%,17%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE SUCRE,57,Menor,11,Similar,6%,35%,49%,10%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
TOLIMA,46,,11,,36%,45%,18%,2%,45%,61%,62%,64%,61%,60%,Sociales y Ciudadanas
OFICIALES URBANOS DE TOLIMA,46,Similar,11,Similar,33%,46%,20%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE TOLIMA,43,Similar,10,Similar,43%,45%,12%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE TOLIMA,50,Menor,12,Similar,26%,39%,30%,5%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE TOLIMA,42,Mayor,9,Mayor,49%,41%,10%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE TOLIMA,45,Similar,10,Similar,36%,46%,17%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE TOLIMA,54,Menor,11,Similar,15%,39%,39%,7%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
TULUA,50,,12,,23%,42%,30%,5%,36%,54%,55%,60%,55%,52%,Sociales y Ciudadanas
OFICIALES URBANOS DE TULUA,49,Similar,11,Similar,24%,45%,28%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE TULUA,44,Mayor,10,Mayor,43%,42%,14%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE TULUA,57,Menor,12,Similar,9%,34%,46%,11%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE TULUA,43,Mayor,10,Mayor,51%,42%,5%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE TULUA,48,Similar,11,Similar,28%,44%,26%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE TULUA,56,Menor,11,Similar,11%,37%,43%,9%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
TUMACO,41,,10,,59%,31%,8%,1%,55%,68%,65%,66%,68%,67%,Sociales y Ciudadanas
OFICIALES URBANOS DE TUMACO,41,Similar,10,Similar,57%,34%,8%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE TUMACO,37,Mayor,8,Mayor,71%,26%,3%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE TUMACO,52,Menor,13,Menor,24%,32%,36%,7%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE TUMACO,37,Mayor,8,Mayor,73%,26%,2%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE TUMACO,41,Similar,10,Similar,59%,33%,8%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE TUMACO,56,Menor,11,Similar,13%,26%,55%,6%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
TUNJA,56,,11,,9%,37%,44%,10%,27%,41%,47%,55%,46%,44%,Sociales y Ciudadanas
OFICIALES URBANOS DE TUNJA,55,Similar,11,Similar,11%,42%,40%,7%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE TUNJA,49,Mayor,11,Similar,24%,52%,21%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE TUNJA,60,Menor,11,Similar,6%,25%,52%,16%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE TUNJA,51,Mayor,11,Similar,19%,49%,29%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE TUNJA,58,Similar,10,Similar,6%,33%,51%,11%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE TUNJA,68,Menor,9,Mayor,0%,11%,51%,38%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
TURBO,42,,10,,49%,40%,10%,1%,52%,66%,65%,64%,66%,64%,Sociales y Ciudadanas
OFICIALES URBANOS DE TURBO,42,Similar,10,Similar,48%,41%,11%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE TURBO,41,Similar,9,Similar,54%,38%,7%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE TURBO,49,Menor,10,Similar,25%,49%,25%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE TURBO,38,Mayor,8,Mayor,69%,27%,3%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE TURBO,42,Similar,9,Similar,50%,41%,8%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE TURBO,50,Menor,11,Similar,26%,42%,30%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
URIBIA,37,,8,,74%,23%,3%,0%,63%,73%,73%,69%,68%,76%,Sociales y Ciudadanas
OFICIALES URBANOS DE URIBIA,41,Menor,10,Menor,58%,34%,8%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE URIBIA,35,Similar,6,Mayor,82%,18%,1%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE URIBIA,36,Similar,7,Similar,78%,20%,1%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE URIBIA,41,Menor,11,Menor,54%,34%,11%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
VALLE DEL CAUCA,48,,11,,30%,45%,23%,3%,40%,58%,59%,62%,58%,56%,Sociales y Ciudadanas
OFICIALES URBANOS DE VALLE DEL CAUCA,48,Similar,11,Similar,29%,44%,23%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE VALLE DEL CAUCA,46,Similar,10,Similar,33%,47%,19%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE VALLE DEL CAUCA,53,Menor,12,Similar,17%,39%,37%,7%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE VALLE DEL CAUCA,44,Mayor,10,Similar,39%,45%,15%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE VALLE DEL CAUCA,47,Similar,11,Similar,31%,45%,22%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE VALLE DEL CAUCA,54,Menor,12,Similar,15%,40%,38%,8%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
VALLEDUPAR,50,,12,,25%,40%,30%,5%,37%,53%,55%,55%,55%,52%,Sociales y Ciudadanas
OFICIALES URBANOS DE VALLEDUPAR,50,Similar,12,Similar,23%,44%,29%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE VALLEDUPAR,43,Mayor,10,Mayor,46%,42%,12%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE VALLEDUPAR,54,Menor,13,Similar,21%,30%,40%,9%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE VALLEDUPAR,44,Mayor,8,Mayor,40%,53%,7%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE VALLEDUPAR,47,Similar,11,Similar,31%,45%,22%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE VALLEDUPAR,59,Menor,12,Similar,9%,27%,51%,13%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
VAUPES,41,,9,,52%,40%,9%,0%,53%,66%,72%,59%,62%,71%,Sociales y Ciudadanas
OFICIALES URBANOS DE VAUPES,45,Menor,9,Similar,37%,50%,13%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE VAUPES,36,Mayor,6,Mayor,78%,22%,0%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE VAUPES,31,Mayor,0,Mayor,100%,0%,0%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE VAUPES,40,Similar,8,Similar,57%,38%,6%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE VAUPES,46,Menor,9,Similar,33%,48%,19%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
VICHADA,43,,10,,48%,39%,13%,0%,53%,66%,65%,62%,59%,68%,Sociales y Ciudadanas
OFICIALES URBANOS DE VICHADA,46,Similar,10,Similar,33%,48%,18%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE VICHADA,38,Mayor,9,Similar,71%,25%,4%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE VICHADA,36,Mayor,6,Mayor,83%,17%,1%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE VICHADA,45,Similar,10,Similar,37%,46%,17%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
VILLAVICENCIO,51,,11,,21%,43%,31%,5%,35%,52%,54%,62%,54%,50%,Sociales y Ciudadanas
OFICIALES URBANOS DE VILLAVICENCIO,50,Similar,11,Similar,21%,46%,31%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE VILLAVICENCIO,52,Similar,12,Similar,21%,42%,32%,5%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE VILLAVICENCIO,52,Similar,13,Menor,22%,36%,33%,10%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE VILLAVICENCIO,48,Similar,2,Mayor,0%,100%,0%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE VILLAVICENCIO,47,Mayor,10,Similar,30%,48%,21%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE VILLAVICENCIO,54,Similar,11,Similar,14%,40%,39%,7%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE VILLAVICENCIO,66,Menor,10,Similar,2%,10%,53%,35%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
YOPAL,52,,11,,19%,43%,33%,5%,34%,50%,53%,57%,52%,50%,Sociales y Ciudadanas
OFICIALES URBANOS DE YOPAL,51,Similar,11,Similar,19%,46%,31%,4%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE YOPAL,47,Mayor,10,Similar,32%,46%,22%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE YOPAL,60,Menor,12,Similar,9%,25%,48%,18%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 1 DE YOPAL,46,Mayor,8,Mayor,17%,67%,17%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE YOPAL,49,Similar,10,Similar,23%,47%,27%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE YOPAL,59,Menor,11,Similar,7%,29%,50%,14%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE YOPAL,69,Menor,11,Similar,0%,7%,60%,33%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
YUMBO,47,,11,,30%,46%,22%,1%,39%,59%,60%,65%,58%,57%,Sociales y Ciudadanas
OFICIALES URBANOS DE YUMBO,48,Similar,11,Similar,29%,46%,24%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE YUMBO,46,Similar,9,Mayor,34%,48%,19%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE YUMBO,45,Similar,10,Similar,38%,44%,18%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE YUMBO,45,Similar,10,Similar,35%,47%,17%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE YUMBO,50,Similar,11,Similar,23%,44%,31%,2%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
ZIPAQUIRA,54,,11,,15%,40%,40%,6%,31%,47%,51%,56%,50%,47%,Sociales y Ciudadanas
OFICIALES URBANOS DE ZIPAQUIRA,51,Similar,11,Similar,18%,45%,34%,3%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
OFICIALES RURALES DE ZIPAQUIRA,48,Mayor,10,Similar,26%,49%,25%,1%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
PRIVADOS DE ZIPAQUIRA,58,Menor,11,Similar,7%,30%,52%,11%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 2 DE ZIPAQUIRA,46,Mayor,10,Similar,32%,48%,19%,0%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 3 DE ZIPAQUIRA,55,Similar,11,Similar,12%,39%,43%,7%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
GC 4 DE ZIPAQUIRA,62,Menor,7,Mayor,0%,22%,66%,12%,N.D.,N.D.,N.D.,N.D.,N.D.,N.D.,Sociales y Ciudadanas
